Epoch,train_loss,validation_loss,accuracy
0,9.708609331553372,3.466979441925566,0.5
1,9.69051916947656,3.4668342852492473,0.5
2,9.729280423887609,3.45730929886878,0.5
3,9.725542272119583,3.4710364633658672,0.5
4,9.7073057912224,3.463000035276109,0.5
5,9.71942313748542,3.4693545441064577,0.5
6,9.705219737022517,3.4661674089835723,0.5
7,9.716030574845364,3.463608082338807,0.5
8,9.712415641403338,3.467270560086906,0.5
9,9.70752757771458,3.4652094465099617,0.5
10,9.709080450187452,3.4665492755778224,0.5
11,9.705147461074455,3.465723398465371,0.5857142857142857
12,9.703866754487947,3.4657298730772492,0.5
13,9.706163813414634,3.465724794336103,0.5
14,9.70421182521494,3.4657190072145814,0.5
15,9.705153187354018,3.465943602781133,0.5
16,9.70412639933808,3.4657130750837144,0.5
17,9.7025771981507,3.4652476286306593,0.5
18,9.704217412917833,3.4657747490808246,0.5
19,9.704378250730747,3.4634804751398707,0.5
20,9.7004564134154,3.4679224188401494,0.5
21,9.703761113438444,3.4671814042246663,0.5
22,9.70447762959781,3.4626813830686145,0.5
23,9.697936427196304,3.465889241753176,0.5
24,9.696884513923742,3.4659201701976112,0.5
25,9.70447017187293,3.4684788035043863,0.5
26,9.694544053342499,3.468698662054105,0.5
27,9.706454299156595,3.466263106428888,0.5
28,9.706237518924459,3.463357977264032,0.5
29,9.716873397952016,3.4687782832710123,0.5
30,9.71476674847207,3.4682198508834947,0.5
31,9.710787735417057,3.468827734971986,0.5
32,9.699733321643254,3.46790659424707,0.5
33,9.704605144589737,3.4668536298236194,0.5
34,9.699823351702076,3.4657851447042067,0.5
35,9.704591508219554,3.4642849923727517,0.5
36,9.698075034855703,3.4658396796663853,0.5
37,9.715160728025205,3.4680887045236637,0.5
38,9.70075551636084,3.4672344339418637,0.5
39,9.704196010139587,3.4642505564891217,0.5
40,9.705182554390294,3.467877457730793,0.5
41,9.704784195221393,3.4639763504226826,0.5
42,9.704728588762501,3.4694934101391928,0.5
43,9.698290393378123,3.465853375792833,0.5
44,9.704538808981432,3.4659393397106655,0.5
45,9.705018529165454,3.468079295870369,0.5
46,9.713518583563388,3.467853069956107,0.5
47,9.697891430617776,3.4688489947992065,0.5
48,9.704380262792972,3.464218533205693,0.5
49,9.70454812899873,3.4658412177752553,0.5
50,9.704978802994354,3.467361290985125,0.5
51,9.704873950431352,3.4675244514597923,0.5
52,9.71221512591654,3.467466965827052,0.5
53,9.703688082201683,3.4657525802598377,0.5
54,9.700473350626284,3.4657159462644187,0.5
55,9.704135669882946,3.4669662073467444,0.5
56,9.704307522699514,3.464532732300654,0.5
57,9.704603883811211,3.466787822585121,0.5
58,9.708952655503055,3.4636420238605763,0.5
59,9.705694043581754,3.4652548548756354,0.5
