Epoch,train_loss,validation_loss,accuracy
0,26.36247462891088,9.726251558275488,0.25
1,26.35241953627786,9.681345868893686,0.25
2,26.354802951718266,9.723715444118104,0.25
3,26.349875020482028,9.720083042200823,0.25
4,26.348011243657666,9.7024406822143,0.25
5,26.346393074938877,9.695086940258768,0.25
6,26.348145916053785,9.707611602122853,0.25
7,26.34818418150572,9.698425943032738,0.25
8,26.346612386607777,9.70778809925832,0.25
9,26.345734985146162,9.705569057641124,0.25
10,26.348318329048055,9.707122969304173,0.25
11,26.34577388237051,9.712927467979469,0.25
12,26.34709062039517,9.69729773379165,0.25
13,26.344711265602417,9.714123852502723,0.25
14,26.34495454429029,9.705339750275261,0.25
15,26.35008553743238,9.706252552810364,0.25
16,26.345254905830664,9.710150081973023,0.25
17,26.3445304567812,9.7078040384132,0.25
18,26.342299136593,9.703959470654052,0.25
19,26.343448721206325,9.703523241053386,0.25
20,26.341777492757178,9.702972768517466,0.25
21,26.344127537214305,9.705823276177423,0.25
22,26.342116770207422,9.709944594041666,0.25
23,26.345895959321773,9.706399355622672,0.25
24,26.34112191407273,9.704151999986932,0.25
25,26.34118643591413,9.701722836659307,0.25
26,26.345631551834405,9.702563909326571,0.25
27,26.3454132820823,9.700426407421551,0.25
28,26.347590966891268,9.706059979267511,0.25
29,26.34280147629795,9.704383908247559,0.25
30,26.341310987761695,9.702291038164333,0.25
31,26.34142274310872,9.702661517320145,0.25
32,26.34150212427785,9.705459783038311,0.25
33,26.34231400998774,9.702034311526544,0.25
34,26.340461471448705,9.705078413936869,0.25
35,26.34238633031298,9.705636835470838,0.25
36,26.341339051476407,9.703539183012522,0.25
37,26.34078775696167,9.70333152426936,0.25
38,26.340506947542732,9.704107750608365,0.25
39,26.342018982093435,9.704959063884468,0.25
40,26.34318521222727,9.70275675120039,0.32
41,26.34083204380144,9.705403721536232,0.25
42,26.34180813105361,9.703330729524383,0.25
43,26.342132904086007,9.702700881719412,0.25
44,26.34055999300643,9.70478188964119,0.25
45,26.34111719964004,9.703634156717094,0.25
46,26.34049080570878,9.703683630610229,0.25
47,26.34148526269202,9.703611476768074,0.25
48,26.34094334711657,9.703005301617901,0.25
49,26.342149372710455,9.704002402781505,0.33
50,26.34159428459834,9.703882091825395,0.25
51,26.340755817164954,9.705038824153558,0.25
52,26.340954860496065,9.703477653237142,0.25
53,26.342393739174998,9.703155822837017,0.25
54,26.34138672767682,9.703772783939222,0.25
55,26.342394258901617,9.705462794949666,0.25
56,26.34096380669099,9.704064663516206,0.25
57,26.34324232263805,9.704137273503498,0.25
58,26.340764270317173,9.703620792257649,0.25
59,26.341711314253494,9.703736336904385,0.25
60,26.341401927360078,9.702046007328175,0.25
61,26.341854221772284,9.704836050630398,0.25
62,26.34382307775219,9.70363054057783,0.28
63,26.34267681513301,9.70427112087099,0.25
64,26.344080961437818,9.704004629734035,0.25
65,26.342248575417322,9.703298992756347,0.25
66,26.34143439580903,9.703910311375532,0.25
67,26.341717711301236,9.704050212592948,0.25
68,26.340987652846337,9.70353615073158,0.25
69,26.341193671830844,9.704558509149983,0.25
70,26.34496966605501,9.70343281948384,0.25
71,26.341140728299713,9.7038621703722,0.25
72,26.3411391537325,9.703899703283124,0.25
73,26.342262011819226,9.704644877574337,0.25
74,26.340724720288677,9.704721941025339,0.25
75,26.342250662789315,9.704697826059903,0.25
76,26.342181497967292,9.703086455379644,0.25
