Epoch,train_loss,test_loss,accuracy
0,26.534912488723766,9.740381646786034,0.25
1,26.46632063291694,9.738599654523577,0.25
2,26.45441421871673,9.734272011650587,0.25
3,26.45112470948286,9.729922205429402,0.25
4,26.449333959776588,9.72587803323636,0.25
5,26.447941116515615,9.722152735794747,0.25
6,26.446880527162925,9.718738918517749,0.25
7,26.446020297929678,9.715602068711547,0.25
8,26.44532547021937,9.712717753370091,0.25
9,26.444774365722733,9.710064573582908,0.25
10,26.444343937384097,9.707622536047667,0.25
11,26.444014234212872,9.705373503112991,0.25
12,26.44376714902934,9.703300821897203,0.25
13,26.44359011316716,9.701389857335345,0.25
14,26.443467075845945,9.69962626303635,0.25
15,26.443190166826188,9.697983077944652,0.25
16,26.44308325391452,9.696479255507093,0.25
17,26.442897173178398,9.69509383081034,0.25
18,26.44283680010192,9.69381018685786,0.25
19,26.44286227800989,9.692630353467536,0.25
20,26.44291293356387,9.691542711438908,0.25
21,26.442953868690307,9.690537128000905,0.25
22,26.44301388289727,9.689605802257327,0.25
23,26.443081033695243,9.688743394816447,0.25
24,26.44314820468425,9.687944576960684,0.25
25,26.44316594476052,9.687203818806234,0.25
26,26.44321589658864,9.686516699081512,0.25
27,26.443282371780814,9.685878655940943,0.25
28,26.443350375607707,9.685286360954091,0.25
29,26.443410779963408,9.684735745741367,0.25
30,26.443461156749525,9.684223779814088,0.25
31,26.443476057083092,9.683740088104946,0.25
32,26.443438688580677,9.68330063790016,0.25
33,26.443500024085832,9.68289523048926,0.25
34,26.443547190498922,9.682518622205572,0.25
35,26.443588500402512,9.68216863851223,0.25
36,26.443625410213382,9.681843399243894,0.25
37,26.44365760618337,9.681541028691612,0.25
38,26.44368449013779,9.681259831870065,0.25
39,26.44370838500167,9.680998353399959,0.25
40,26.443726896686098,9.680755136088228,0.25
41,26.443742433773057,9.68052895913175,0.25
42,26.44375387241524,9.680318593234716,0.25
43,26.443761775998336,9.680122913498378,0.25
44,26.443766564037897,9.679940815163011,0.25
45,26.443768069459068,9.679771443972411,0.25
46,26.443765484100698,9.679613754536245,0.25
47,26.443760894531998,9.679467075026801,0.25
48,26.44375209356732,9.679330420412281,0.25
49,26.4437417358309,9.679203222962977,0.25
50,26.443728441684943,9.679084676247765,0.25
51,26.443712791695752,9.678974240610977,0.25
52,26.44369425994781,9.67887130842503,0.25
53,26.443674828113306,9.678775395610526,0.25
54,26.44364981862737,9.678685831616416,0.25
55,26.44360805580338,9.678597947166278,0.25
56,26.44349482436811,9.678519712631273,0.25
57,26.44346358762794,9.67844749430003,0.25
58,26.44343453183972,9.678380005926229,0.25
59,26.443404222017342,9.678316970583962,0.25
60,26.443372869620113,9.678258042901458,0.25
