Epoch,train_loss,test_loss,accuracy
0,9.800331121534333,3.471589164973503,0.5
1,9.747064532986235,3.469933415497081,0.5
2,9.730002794708597,3.466090902331813,0.5
3,9.722947219400265,3.462222867281904,0.5
4,9.719149503815972,3.458780713128868,0.5
5,9.716734337736284,3.4558030888065048,0.5
6,9.715088772254113,3.453242747185183,0.5
7,9.713965458860214,3.451041052114687,0.5
8,9.713219363461212,3.449142956385394,0.5
9,9.712756932890649,3.447502317313031,0.5
10,9.712489529278056,3.4460820387788647,0.5
11,9.712396040912745,3.4448478661798214,0.5
12,9.712419678380463,3.4437728844370983,0.5
13,9.71252839951114,3.4428343121968443,0.5
14,9.71269009816615,3.4420131221401093,0.5
15,9.712892633625229,3.441293753137673,0.5
16,9.71310634179496,3.440662950478468,0.5
17,9.713331323331772,3.4401065428362783,0.5
18,9.713583173897842,3.439615967800608,0.5
19,9.713829695008545,3.4391829274555565,0.5
20,9.714065856921454,3.4387994395757175,0.5
21,9.714293983413057,3.438459554696535,0.5
22,9.7145372502376,3.4381582025154445,0.5
23,9.714561852964117,3.437885995298645,0.5
24,9.714756904675612,3.4376491962943128,0.5
25,9.714931229101877,3.4374382150956677,0.5
26,9.715092822734784,3.437250121383402,0.5
27,9.715240507528161,3.4370822039978695,0.5
28,9.715375610681424,3.4369322411987344,0.5
29,9.715497897215602,3.4367980032279837,0.5
30,9.715610133232333,3.436678000173855,0.5
31,9.715711971932837,3.4365706093961976,0.5
32,9.715803110799502,3.436474445375427,0.5
33,9.715885037399298,3.436388229582104,0.5
34,9.715958339872008,3.436310848204801,0.5
35,9.716021184246218,3.4362412682565426,0.5
36,9.716074585944945,3.4361785344421105,0.5
37,9.716093959825429,3.4361229509010296,0.5
38,9.716096602478997,3.4360724090809134,0.5
39,9.716145020977777,3.4360276398708667,0.5
40,9.716181979650056,3.4359874995517057,0.5
41,9.716212364279611,3.43595136543218,0.5
42,9.716238683633858,3.4359189429863797,0.5
43,9.716260227172357,3.4358896438881588,0.5
44,9.716279112096242,3.4358632123419475,0.5
45,9.716295702438536,3.4358395786482907,0.5
46,9.716307772677892,3.435818104011693,0.5
47,9.716318329832394,3.4357987347583725,0.5
48,9.716326759315933,3.4357812812769426,0.5
49,9.716333254626978,3.43576560008041,0.5
50,9.716337281736966,3.435751395415377,0.5
51,9.716339957623848,3.435738556316669,0.5
52,9.716340975959026,3.4357269260534844,0.5
53,9.716339509951254,3.435716275829561,0.5
54,9.716336813280266,3.4357065644996907,0.5
55,9.71633148095937,3.435697590429567,0.5
56,9.71632559768437,3.435689211232074,0.5
57,9.716318412376534,3.435681439408672,0.5
58,9.716311038467339,3.435674009083571,0.5
59,9.716303075621422,3.435667311974513,0.5
60,9.71629522933736,3.435661399601421,0.5
61,9.716286499274219,3.4356560898827633,0.5
62,9.716277942688937,3.435651512109681,0.5
63,9.716268570088298,3.4356472956359974,0.5
64,9.71626076047475,3.4356436462897815,0.5
