Epoch,train_loss,test_loss,accuracy
0,9.817062292653256,3.478550605812516,0.5
1,9.755819592104915,3.475523784795923,0.5
2,9.734217459573316,3.4700362462440104,0.5
3,9.724069176605198,3.4647227607065396,0.4714285714285714
4,9.71816879432471,3.460117928138181,0.5
5,9.714285761413665,3.4562053322758204,0.5
6,9.711517906976988,3.4528871473756486,0.5
7,9.709473036239839,3.4500650693408104,0.5
8,9.707977460263216,3.4476450844347,0.5
9,9.706907326544208,3.4455765523674655,0.5
10,9.706289173050424,3.443819341995903,0.5
11,9.70587423629106,3.4423091380865487,0.5
12,9.705673670301174,3.44100552213163,0.5
13,9.7055182667808,3.439871749641977,0.5
14,9.70546401461161,3.4388802999155432,0.5
15,9.705406611916382,3.438002195521012,0.5
16,9.705349168321119,3.4372279316169947,0.5
17,9.705362848512099,3.4365526842085283,0.5
18,9.705376838641268,3.4359633435060735,0.5
19,9.705422042096487,3.435436532052398,0.5
20,9.705422483853429,3.4349696236825524,0.5
21,9.705429237248005,3.4345495443564706,0.5
22,9.705322280347778,3.4341660863117687,0.5
23,9.705303302340539,3.433816886678591,0.5
24,9.705184545583474,3.4335002386759266,0.5
25,9.70513687095911,3.4332077741211555,0.5
26,9.704994325809633,3.4329293806847576,0.5
27,9.704753526266563,3.4326448516028,0.5
28,9.704574448233835,3.4323775387235376,0.5
29,9.704297880451948,3.4321318729206896,0.5
30,9.70412088506551,3.4319146068840443,0.5
31,9.703953157552254,3.4317124697009196,0.5
32,9.70366858410667,3.4315185176219667,0.5
33,9.703449081274114,3.431335802608804,0.5
34,9.703166783529031,3.4311602916589647,0.5
35,9.702880066620889,3.4309922514414586,0.5
36,9.70268084907739,3.430830626967749,0.5
37,9.702390996448084,3.4306736671381644,0.5
38,9.702183710341432,3.430529796903449,0.5
39,9.701896037261774,3.430395358066387,0.5
40,9.701637397361399,3.4302665191486756,0.5
41,9.701409198115272,3.430137519024713,0.5
42,9.701111502540343,3.430013035508749,0.5
43,9.700729626031489,3.429883728654241,0.5
44,9.700530667334293,3.4297557912137684,0.5
45,9.700165138642252,3.4296285791526473,0.5
46,9.699884647243122,3.429506197836301,0.5
47,9.699648772485457,3.429386596223284,0.5
48,9.699241748602594,3.4292689264703746,0.5
49,9.699014489760325,3.429149465718689,0.5
50,9.698691539707077,3.4290288963443927,0.5
51,9.69827527802906,3.4289052845728065,0.5
52,9.698049026890445,3.428789931702815,0.5
53,9.697720511624759,3.428670544567456,0.5
54,9.697477610293822,3.4285534136594955,0.5
55,9.697043275973414,3.4284346160159695,0.5
56,9.696724765797471,3.428315733057226,0.5
57,9.696543180333945,3.428202141622943,0.5
58,9.696134462826693,3.4280898867305374,0.5
59,9.695828900186864,3.427978321682822,0.5
60,9.695632663261438,3.4278687542733763,0.5
61,9.695280311147785,3.4277603900564486,0.5
62,9.694960277691719,3.427649472145764,0.5
63,9.694670011039875,3.427536409548781,0.5
64,9.694304439332809,3.4274253465644793,0.5
65,9.693936437560772,3.4273099681753285,0.5
66,9.693718797151782,3.427191683228598,0.5
67,9.693291633317596,3.427079284693767,0.5
68,9.692991951013825,3.426966331934639,0.5
69,9.692658839264979,3.426846684685399,0.5
