Epoch,train_loss,test_loss,accuracy
0,107.38145846308983,34.685332001251936,0.25
1,106.94509445671378,34.6734812107278,0.31
2,106.87430707401032,34.66782809573948,0.25
3,106.84335034334757,34.66614513038477,0.25
4,106.80979889413572,34.665639430947046,0.25
5,106.78666202273767,34.66583010870457,0.25
6,106.76714872683264,34.6663340906978,0.25
7,106.74273062829694,34.66642467166872,0.25
8,106.722469271456,34.666944543071395,0.25
9,106.70264631153874,34.66709487067611,0.25
10,106.68479952448942,34.66735282149196,0.25
11,106.66733050603024,34.66740989493906,0.25
12,106.64989692431665,34.66798825357203,0.25
13,106.62996001621454,34.6675187714537,0.25
14,106.616839071494,34.667484149335834,0.25
15,106.60012061631488,34.66717246823408,0.25
16,106.58578685865926,34.667129600119125,0.25
17,106.57412161849241,34.666911520146854,0.25
18,106.55847586854489,34.666826470323926,0.25
19,106.54593141356341,34.666713642557774,0.25
20,106.53475539915041,34.666602845223,0.25
21,106.52314283729342,34.66640799112172,0.25
22,106.51294280440476,34.666309621340204,0.25
23,106.50211504488415,34.666065921819566,0.25
24,106.48887742654881,34.665827852435065,0.25
25,106.48125553654873,34.665815342080194,0.25
26,106.46948271450808,34.66541657295569,0.25
27,106.46190075625191,34.665463463203245,0.25
28,106.45165180213858,34.6650183225884,0.25
29,106.44325520692001,34.66516246011103,0.25
30,106.43406365170515,34.664787009164904,0.25
31,106.4335336826199,34.66467927243902,0.25
32,106.42141196156658,34.66441311507221,0.25
33,106.40903131496115,34.66423864090489,0.25
34,106.40471732443055,34.66420020920575,0.25
35,106.39772141577653,34.66419141886567,0.25
36,106.39034834042991,34.663928840708046,0.25
37,106.38492804715356,34.6640119719029,0.25
38,106.37697354719538,34.66360165721642,0.25
39,106.37208789698619,34.66345638468982,0.25
40,106.36599164807365,34.663145275727544,0.25
41,106.36352541206229,34.66324329589986,0.25
42,106.35408868910437,34.66292459573167,0.25
43,106.35171881547467,34.66308383893398,0.25
44,106.34316614376421,34.66269350691284,0.25
45,106.3387621616188,34.66255349621174,0.25
46,106.33473712589426,34.66226938798212,0.25
47,106.3302429849701,34.66203779168143,0.25
48,106.32414715749474,34.66207653967703,0.25
49,106.32427949530324,34.661983418232516,0.25
50,106.31507565180245,34.661683110819794,0.25
51,106.31371951601919,34.66176314889573,0.25
52,106.30778456283761,34.6613597519186,0.25
53,106.3064733265973,34.6613096935088,0.25
54,106.29972323686165,34.66082590032704,0.25
55,106.2982329644515,34.660855606596684,0.25
56,106.29225712022752,34.66045895971971,0.25
57,106.28990480889581,34.66035832450471,0.25
58,106.2869041773194,34.66013364479026,0.25
59,106.2856494942666,34.660020128053866,0.25
60,106.28178880007127,34.65973750036179,0.25
61,106.28102994971124,34.659647679823884,0.25
62,106.27684973698847,34.6594450795509,0.25
63,106.27543898640413,34.65938057790213,0.25
64,106.27094892239438,34.65907228010804,0.25
65,106.2708557612808,34.65894715914924,0.25
66,106.26669833046526,34.65866479397443,0.25
67,106.2659996574529,34.65848068713938,0.25
68,106.26337849157741,34.6582015180386,0.25
69,106.26283426900258,34.657987089850515,0.25
70,106.25947204081446,34.65773209157029,0.25
71,106.25792478120839,34.6574587277726,0.25
72,106.25495521194587,34.657217895181816,0.25
73,106.25515104517251,34.657026181206284,0.25
74,106.25265741620389,34.656863656225866,0.25
75,106.25256380875035,34.65666458448666,0.25
76,106.24972346516549,34.65634342015508,0.25
77,106.25009797113714,34.65622315255945,0.25
78,106.24814035768992,34.65582578287885,0.25
79,106.24701845907364,34.65565553589939,0.25
80,106.24565138267113,34.65536201199287,0.25
81,106.24533329831141,34.65515469688343,0.25
82,106.2441959824228,34.654797209850194,0.25
83,106.24384848068756,34.65459525782552,0.25
84,106.24167082360393,34.654277288932136,0.25
85,106.24112557844641,34.65412168962614,0.25
86,106.23949424286815,34.65374488875639,0.25
87,106.23910345875522,34.65357636661461,0.25
88,106.24009753190373,34.6531057418712,0.25
89,106.23866337840163,34.65281842861739,0.25
90,106.23641893629964,34.65241453692461,0.25
91,106.2370910616877,34.65201407997653,0.25
92,106.23628757423673,34.65172610011992,0.25
93,106.23514757692742,34.65129958102711,0.25
94,106.2349571748032,34.65102502574965,0.25
95,106.23437572969483,34.650654566341444,0.25
96,106.23421999265155,34.65031821398738,0.25
97,106.23347738668139,34.650001206004006,0.25
98,106.23379792710742,34.649638751970215,0.25
99,106.2329236880385,34.64927246068003,0.25
100,106.23209185479466,34.64891707411653,0.25
101,106.23279771710924,34.64858110103343,0.25
102,106.23186961810417,34.648227264565854,0.25
103,106.23139445518328,34.647878636574234,0.25
104,106.23043948658417,34.647472392047774,0.25
105,106.22963733530068,34.64714032605862,0.25
106,106.22864164431743,34.64682281613293,0.25
107,106.22910388721078,34.646460052804926,0.25
108,106.22821156267874,34.64604566618224,0.25
109,106.2268262689022,34.64565929277545,0.25
110,106.22774682672743,34.64534763985046,0.25
111,106.22847322406369,34.64493209339019,0.25
112,106.22726043337954,34.64445851817132,0.25
113,106.22685879282488,34.64409319583453,0.25
114,106.2267600204015,34.643689144221256,0.25
115,106.22633990528375,34.64327117594188,0.25
116,106.22582112982803,34.64281748059533,0.25
117,106.22462399478013,34.6423045344132,0.25
118,106.22592706362403,34.64189900936476,0.25
119,106.22399047339307,34.641437595535315,0.25
120,106.22398666294048,34.640977918551776,0.25
121,106.22422082388866,34.640554947713625,0.25
122,106.22446873531513,34.64002175074472,0.25
123,106.22203715106505,34.63956179054635,0.25
124,106.22423263872057,34.639034649276525,0.25
