Epoch,train_loss,test_loss,accuracy
0,26.550005810750992,9.756136341621556,0.25
1,26.478699125122727,9.75284181775103,0.25
2,26.46424094544496,9.74692762222675,0.32
3,26.45865027121528,9.741199652893268,0.37
4,26.45476587396346,9.735921721524935,0.32
5,26.451755652702815,9.731095791714099,0.31
6,26.44929801925927,9.726695820128063,0.28
7,26.447183536892187,9.722676900731674,0.27
8,26.445367605819662,9.71898468341269,0.26
9,26.44347459368528,9.715586385525958,0.26
10,26.44218368894879,9.71248483564513,0.26
11,26.44103368634075,9.709628382796156,0.25
12,26.44005085303411,9.706994592207819,0.25
13,26.439087623892327,9.704551817261933,0.25
14,26.43812536631995,9.702272217475516,0.25
15,26.437477304249214,9.70019941341258,0.25
16,26.43682329586762,9.698269218766873,0.28
17,26.436268958327812,9.696485083350836,0.32
18,26.435774972469947,9.694838963119185,0.27
19,26.4353130679025,9.693325235394719,0.24
20,26.434889534096754,9.691918871646683,0.25
21,26.434523642539645,9.690615136395087,0.25
22,26.434203458593185,9.6893815636428,0.25
23,26.433925494638963,9.688246170380829,0.25
24,26.4336338068573,9.687185084107119,0.25
25,26.433351683198715,9.686189308777744,0.25
26,26.433097413078094,9.685256026798022,0.25
27,26.432783580372,9.68437468184663,0.25
28,26.43249254777292,9.683551710188192,0.25
29,26.43221851845192,9.682782815597324,0.25
30,26.431950761798205,9.682060306322363,0.25
31,26.431671725382508,9.68137565337351,0.25
32,26.431400162307963,9.680724326335199,0.25
33,26.43117870473292,9.680125854328908,0.25
34,26.430920085051152,9.67955984769548,0.25
35,26.430682793978963,9.679030749869307,0.25
36,26.430442899596606,9.67852786322382,0.25
37,26.430222110052515,9.678051039284556,0.25
38,26.4299821647393,9.677604698692683,0.25
39,26.42974269478444,9.677184643986497,0.25
40,26.42950078709648,9.676787377090431,0.25
41,26.429261417906154,9.676409924694443,0.25
42,26.429017085465933,9.676050100451556,0.25
43,26.42878243072027,9.67570883817559,0.25
44,26.428509746890242,9.675372583647459,0.25
45,26.428289943551132,9.675057468270246,0.25
46,26.428026640414842,9.674753495032212,0.25
47,26.427750352696176,9.674454904332052,0.25
48,26.427489893058997,9.674175612519585,0.25
